Comunidades autónomas	Tipo de dato	Periodo	Total
Total	Dato base	2021M09	4.691.486
Total	Dato base	2021M08	5.194.212
Total	Dato base	2021M07	4.395.384
Total	Dato base	2021M06	2.215.710
Total	Dato base	2021M05	1.363.624
Total	Dato base	2021M04	630.647
Total	Dato base	2021M03	490.088
Total	Dato base	2021M02	284.311
Total	Dato base	2021M01	434.362
Total	Dato base	2020M12	648.989
Total	Dato base	2020M11	456.814
Total	Dato base	2020M10	1.020.773
Total	Dato base	2020M09	1.138.868
Total	Dato base	2020M08	2.440.978
Total	Dato base	2020M07	2.464.779
Total	Dato base	2020M06	204.272
Total	Dato base	2020M05	0
Total	Dato base	2020M04	0
Total	Dato base	2020M03	1.997.262
Total	Dato base	2020M02	4.427.344
Total	Dato base	2020M01	4.133.024
Total	Dato base	2019M12	4.304.741
Total	Dato base	2019M11	4.655.021
Total	Dato base	2019M10	7.587.749
Total	Dato base	2019M09	8.845.152
Total	Dato base	2019M08	10.118.366
Total	Dato base	2019M07	9.873.270
Total	Dato base	2019M06	8.833.893
Total	Dato base	2019M05	7.919.204
Total	Dato base	2019M04	7.146.033
Total	Dato base	2019M03	5.649.577
Total	Dato base	2019M02	4.380.504
Total	Dato base	2019M01	4.195.641
Total	Dato base	2018M12	4.354.798
Total	Dato base	2018M11	4.536.873
Total	Dato base	2018M10	7.649.860
Total	Dato base	2018M09	8.932.308
Total	Dato base	2018M08	10.175.761
Total	Dato base	2018M07	10.020.246
Total	Dato base	2018M06	8.554.306
Total	Dato base	2018M05	8.086.048
Total	Dato base	2018M04	6.780.378
Total	Dato base	2018M03	5.393.186
Total	Dato base	2018M02	4.218.047
Total	Dato base	2018M01	4.106.601
Total	Dato base	2017M12	3.982.530
Total	Dato base	2017M11	4.392.575
Total	Dato base	2017M10	7.269.931
Total	Dato base	2017M09	8.877.270
Total	Dato base	2017M08	10.397.745
Total	Dato base	2017M07	10.493.438
Total	Dato base	2017M06	8.431.975
Total	Dato base	2017M05	8.002.648
Total	Dato base	2017M04	7.081.594
Total	Dato base	2017M03	4.913.943
Total	Dato base	2017M02	4.119.137
Total	Dato base	2017M01	3.905.736
Total	Dato base	2016M12	3.990.446
Total	Dato base	2016M11	4.098.262
Total	Dato base	2016M10	7.137.723
Total	Dato base	2016M09	7.932.607
Total	Dato base	2016M08	10.027.471
Total	Dato base	2016M07	9.545.792
Total	Dato base	2016M06	7.552.758
Total	Dato base	2016M05	7.111.154
Total	Dato base	2016M04	6.086.327
Total	Dato base	2016M03	4.627.206
Total	Dato base	2016M02	3.678.726
Total	Dato base	2016M01	3.526.537
Total	Dato base	2015M12	3.512.914
Total	Dato base	2015M11	3.754.802
Total	Dato base	2015M10	6.432.341
Total	Tasa de variación anual	2021M09	311,94
Total	Tasa de variación anual	2021M08	112,79
Total	Tasa de variación anual	2021M07	78,33
Total	Tasa de variación anual	2021M06	984,69
Total	Tasa de variación anual	2021M05	..
Total	Tasa de variación anual	2021M04	..
Total	Tasa de variación anual	2021M03	-75,46
Total	Tasa de variación anual	2021M02	-93,58
Total	Tasa de variación anual	2021M01	-89,49
Total	Tasa de variación anual	2020M12	-84,92
Total	Tasa de variación anual	2020M11	-90,19
Total	Tasa de variación anual	2020M10	-86,55
Total	Tasa de variación anual	2020M09	-87,12
Total	Tasa de variación anual	2020M08	-75,88
Total	Tasa de variación anual	2020M07	-75,04
Total	Tasa de variación anual	2020M06	-97,69
Total	Tasa de variación anual	2020M05	-100
Total	Tasa de variación anual	2020M04	-100
Total	Tasa de variación anual	2020M03	-64,65
Total	Tasa de variación anual	2020M02	1,07
Total	Tasa de variación anual	2020M01	-1,49
Total	Tasa de variación anual	2019M12	-1,15
Total	Tasa de variación anual	2019M11	2,6
Total	Tasa de variación anual	2019M10	-0,81
Total	Tasa de variación anual	2019M09	-0,98
Total	Tasa de variación anual	2019M08	-0,56
Total	Tasa de variación anual	2019M07	-1,47
Total	Tasa de variación anual	2019M06	3,27
Total	Tasa de variación anual	2019M05	-2,06
Total	Tasa de variación anual	2019M04	5,39
Total	Tasa de variación anual	2019M03	4,75
Total	Tasa de variación anual	2019M02	3,85
Total	Tasa de variación anual	2019M01	2,17
Total	Tasa de variación anual	2018M12	9,35
Total	Tasa de variación anual	2018M11	3,29
Total	Tasa de variación anual	2018M10	5,23
Total	Tasa de variación anual	2018M09	0,62
Total	Tasa de variación anual	2018M08	-2,13
Total	Tasa de variación anual	2018M07	-4,51
Total	Tasa de variación anual	2018M06	1,45
Total	Tasa de variación anual	2018M05	1,04
Total	Tasa de variación anual	2018M04	-4,25
Total	Tasa de variación anual	2018M03	9,75
Total	Tasa de variación anual	2018M02	2,4
Total	Tasa de variación anual	2018M01	5,14
Total	Tasa de variación anual	2017M12	-0,2
Total	Tasa de variación anual	2017M11	7,18
Total	Tasa de variación anual	2017M10	1,85
Total	Tasa de variación anual	2017M09	11,91
Total	Tasa de variación anual	2017M08	3,69
Total	Tasa de variación anual	2017M07	9,93
Total	Tasa de variación anual	2017M06	11,64
Total	Tasa de variación anual	2017M05	12,54
Total	Tasa de variación anual	2017M04	16,35
Total	Tasa de variación anual	2017M03	6,2
Total	Tasa de variación anual	2017M02	11,97
Total	Tasa de variación anual	2017M01	10,75
Total	Tasa de variación anual	2016M12	13,59
Total	Tasa de variación anual	2016M11	9,15
Total	Tasa de variación anual	2016M10	10,97
Total	Tasa de variación anual	2016M09	9,52
Total	Tasa de variación anual	2016M08	6,34
Total	Tasa de variación anual	2016M07	9,99
Total	Tasa de variación anual	2016M06	12,89
Total	Tasa de variación anual	2016M05	8,19
Total	Tasa de variación anual	2016M04	11,59
Total	Tasa de variación anual	2016M03	15,45
Total	Tasa de variación anual	2016M02	13,95
Total	Tasa de variación anual	2016M01	11,04
Total	Tasa de variación anual	2015M12	7,92
Total	Tasa de variación anual	2015M11	10,56
Total	Tasa de variación anual	2015M10	8,89
Total	Acumulado en lo que va de año	2021M09	19.699.824
Total	Acumulado en lo que va de año	2021M08	15.008.338
Total	Acumulado en lo que va de año	2021M07	9.814.126
Total	Acumulado en lo que va de año	2021M06	5.418.743
Total	Acumulado en lo que va de año	2021M05	3.203.033
Total	Acumulado en lo que va de año	2021M04	1.839.408
Total	Acumulado en lo que va de año	2021M03	1.208.761
Total	Acumulado en lo que va de año	2021M02	718.673
Total	Acumulado en lo que va de año	2021M01	434.362
Total	Acumulado en lo que va de año	2020M12	18.933.103
Total	Acumulado en lo que va de año	2020M11	18.284.113
Total	Acumulado en lo que va de año	2020M10	17.827.299
Total	Acumulado en lo que va de año	2020M09	16.806.526
Total	Acumulado en lo que va de año	2020M08	15.667.658
Total	Acumulado en lo que va de año	2020M07	13.226.680
Total	Acumulado en lo que va de año	2020M06	10.761.901
Total	Acumulado en lo que va de año	2020M05	10.557.629
Total	Acumulado en lo que va de año	2020M04	10.557.629
Total	Acumulado en lo que va de año	2020M03	10.557.629
Total	Acumulado en lo que va de año	2020M02	8.560.367
Total	Acumulado en lo que va de año	2020M01	4.133.024
Total	Acumulado en lo que va de año	2019M12	83.509.153
Total	Acumulado en lo que va de año	2019M11	79.204.413
Total	Acumulado en lo que va de año	2019M10	74.549.391
Total	Acumulado en lo que va de año	2019M09	66.961.642
Total	Acumulado en lo que va de año	2019M08	58.116.490
Total	Acumulado en lo que va de año	2019M07	47.998.124
Total	Acumulado en lo que va de año	2019M06	38.124.854
Total	Acumulado en lo que va de año	2019M05	29.290.961
Total	Acumulado en lo que va de año	2019M04	21.371.757
Total	Acumulado en lo que va de año	2019M03	14.225.723
Total	Acumulado en lo que va de año	2019M02	8.576.146
Total	Acumulado en lo que va de año	2019M01	4.195.641
Total	Acumulado en lo que va de año	2018M12	82.808.413
Total	Acumulado en lo que va de año	2018M11	78.453.616
Total	Acumulado en lo que va de año	2018M10	73.916.743
Total	Acumulado en lo que va de año	2018M09	66.266.882
Total	Acumulado en lo que va de año	2018M08	57.334.574
Total	Acumulado en lo que va de año	2018M07	47.158.813
Total	Acumulado en lo que va de año	2018M06	37.138.567
Total	Acumulado en lo que va de año	2018M05	28.584.261
Total	Acumulado en lo que va de año	2018M04	20.498.213
Total	Acumulado en lo que va de año	2018M03	13.717.834
Total	Acumulado en lo que va de año	2018M02	8.324.648
Total	Acumulado en lo que va de año	2018M01	4.106.601
Total	Acumulado en lo que va de año	2017M12	81.868.522
Total	Acumulado en lo que va de año	2017M11	77.885.991
Total	Acumulado en lo que va de año	2017M10	73.493.416
Total	Acumulado en lo que va de año	2017M09	66.223.486
Total	Acumulado en lo que va de año	2017M08	57.346.216
Total	Acumulado en lo que va de año	2017M07	46.948.471
Total	Acumulado en lo que va de año	2017M06	36.455.033
Total	Acumulado en lo que va de año	2017M05	28.023.059
Total	Acumulado en lo que va de año	2017M04	20.020.410
Total	Acumulado en lo que va de año	2017M03	12.938.816
Total	Acumulado en lo que va de año	2017M02	8.024.873
Total	Acumulado en lo que va de año	2017M01	3.905.736
Total	Acumulado en lo que va de año	2016M12	75.315.008
Total	Acumulado en lo que va de año	2016M11	71.324.562
Total	Acumulado en lo que va de año	2016M10	67.226.301
Total	Acumulado en lo que va de año	2016M09	60.088.578
Total	Acumulado en lo que va de año	2016M08	52.155.971
Total	Acumulado en lo que va de año	2016M07	42.128.500
Total	Acumulado en lo que va de año	2016M06	32.582.708
Total	Acumulado en lo que va de año	2016M05	25.029.951
Total	Acumulado en lo que va de año	2016M04	17.918.796
Total	Acumulado en lo que va de año	2016M03	11.832.469
Total	Acumulado en lo que va de año	2016M02	7.205.263
Total	Acumulado en lo que va de año	2016M01	3.526.537
Total	Acumulado en lo que va de año	2015M12	""
Total	Acumulado en lo que va de año	2015M11	""
Total	Acumulado en lo que va de año	2015M10	""
Total	Tasa de variación acumulada	2021M09	17,22
Total	Tasa de variación acumulada	2021M08	-4,21
Total	Tasa de variación acumulada	2021M07	-25,8
Total	Tasa de variación acumulada	2021M06	-49,65
Total	Tasa de variación acumulada	2021M05	-69,66
Total	Tasa de variación acumulada	2021M04	-82,58
Total	Tasa de variación acumulada	2021M03	-88,55
Total	Tasa de variación acumulada	2021M02	-91,6
Total	Tasa de variación acumulada	2021M01	-89,49
Total	Tasa de variación acumulada	2020M12	-77,33
Total	Tasa de variación acumulada	2020M11	-76,92
Total	Tasa de variación acumulada	2020M10	-76,09
Total	Tasa de variación acumulada	2020M09	-74,9
Total	Tasa de variación acumulada	2020M08	-73,04
Total	Tasa de variación acumulada	2020M07	-72,44
Total	Tasa de variación acumulada	2020M06	-71,77
Total	Tasa de variación acumulada	2020M05	-63,96
Total	Tasa de variación acumulada	2020M04	-50,6
Total	Tasa de variación acumulada	2020M03	-25,78
Total	Tasa de variación acumulada	2020M02	-0,18
Total	Tasa de variación acumulada	2020M01	-1,49
Total	Tasa de variación acumulada	2019M12	0,85
Total	Tasa de variación acumulada	2019M11	0,96
Total	Tasa de variación acumulada	2019M10	0,86
Total	Tasa de variación acumulada	2019M09	1,05
Total	Tasa de variación acumulada	2019M08	1,36
Total	Tasa de variación acumulada	2019M07	1,78
Total	Tasa de variación acumulada	2019M06	2,66
Total	Tasa de variación acumulada	2019M05	2,47
Total	Tasa de variación acumulada	2019M04	4,26
Total	Tasa de variación acumulada	2019M03	3,7
Total	Tasa de variación acumulada	2019M02	3,02
Total	Tasa de variación acumulada	2019M01	2,17
Total	Tasa de variación acumulada	2018M12	1,15
Total	Tasa de variación acumulada	2018M11	0,73
Total	Tasa de variación acumulada	2018M10	0,58
Total	Tasa de variación acumulada	2018M09	0,07
Total	Tasa de variación acumulada	2018M08	-0,02
Total	Tasa de variación acumulada	2018M07	0,45
Total	Tasa de variación acumulada	2018M06	1,88
Total	Tasa de variación acumulada	2018M05	2
Total	Tasa de variación acumulada	2018M04	2,39
Total	Tasa de variación acumulada	2018M03	6,02
Total	Tasa de variación acumulada	2018M02	3,74
Total	Tasa de variación acumulada	2018M01	5,14
Total	Tasa de variación acumulada	2017M12	8,7
Total	Tasa de variación acumulada	2017M11	9,2
Total	Tasa de variación acumulada	2017M10	9,32
Total	Tasa de variación acumulada	2017M09	10,21
Total	Tasa de variación acumulada	2017M08	9,95
Total	Tasa de variación acumulada	2017M07	11,44
Total	Tasa de variación acumulada	2017M06	11,88
Total	Tasa de variación acumulada	2017M05	11,96
Total	Tasa de variación acumulada	2017M04	11,73
Total	Tasa de variación acumulada	2017M03	9,35
Total	Tasa de variación acumulada	2017M02	11,38
Total	Tasa de variación acumulada	2017M01	10,75
Total	Tasa de variación acumulada	2016M12	10,46
Total	Tasa de variación acumulada	2016M11	10,29
Total	Tasa de variación acumulada	2016M10	10,36
Total	Tasa de variación acumulada	2016M09	10,29
Total	Tasa de variación acumulada	2016M08	10,41
Total	Tasa de variación acumulada	2016M07	11,42
Total	Tasa de variación acumulada	2016M06	11,85
Total	Tasa de variación acumulada	2016M05	11,54
Total	Tasa de variación acumulada	2016M04	12,93
Total	Tasa de variación acumulada	2016M03	13,64
Total	Tasa de variación acumulada	2016M02	12,5
Total	Tasa de variación acumulada	2016M01	11,04
Total	Tasa de variación acumulada	2015M12	""
Total	Tasa de variación acumulada	2015M11	""
Total	Tasa de variación acumulada	2015M10	""
01 Andalucía	Dato base	2021M09	687.383
01 Andalucía	Dato base	2021M08	698.992
01 Andalucía	Dato base	2021M07	554.924
01 Andalucía	Dato base	2021M06	296.044
01 Andalucía	Dato base	2021M05	166.330
01 Andalucía	Dato base	2021M04	83.460
01 Andalucía	Dato base	2021M03	51.087
01 Andalucía	Dato base	2021M02	28.661
01 Andalucía	Dato base	2021M01	49.716
01 Andalucía	Dato base	2020M12	60.600
01 Andalucía	Dato base	2020M11	49.175
01 Andalucía	Dato base	2020M10	143.610
01 Andalucía	Dato base	2020M09	179.190
01 Andalucía	Dato base	2020M08	363.850
01 Andalucía	Dato base	2020M07	359.754
01 Andalucía	Dato base	2020M06	13.997
01 Andalucía	Dato base	2020M05	0
01 Andalucía	Dato base	2020M04	0
01 Andalucía	Dato base	2020M03	298.332
01 Andalucía	Dato base	2020M02	626.653
01 Andalucía	Dato base	2020M01	605.451
01 Andalucía	Dato base	2019M12	557.861
01 Andalucía	Dato base	2019M11	614.169
01 Andalucía	Dato base	2019M10	1.191.120
01 Andalucía	Dato base	2019M09	1.375.342
01 Andalucía	Dato base	2019M08	1.403.701
01 Andalucía	Dato base	2019M07	1.256.656
01 Andalucía	Dato base	2019M06	1.243.394
01 Andalucía	Dato base	2019M05	1.204.749
01 Andalucía	Dato base	2019M04	1.131.483
01 Andalucía	Dato base	2019M03	842.934
01 Andalucía	Dato base	2019M02	626.983
01 Andalucía	Dato base	2019M01	574.761
01 Andalucía	Dato base	2018M12	552.595
01 Andalucía	Dato base	2018M11	604.357
01 Andalucía	Dato base	2018M10	1.140.163
01 Andalucía	Dato base	2018M09	1.319.350
01 Andalucía	Dato base	2018M08	1.424.410
01 Andalucía	Dato base	2018M07	1.327.577
01 Andalucía	Dato base	2018M06	1.168.948
01 Andalucía	Dato base	2018M05	1.193.716
01 Andalucía	Dato base	2018M04	1.044.566
01 Andalucía	Dato base	2018M03	787.749
01 Andalucía	Dato base	2018M02	579.798
01 Andalucía	Dato base	2018M01	538.026
01 Andalucía	Dato base	2017M12	510.486
01 Andalucía	Dato base	2017M11	569.632
01 Andalucía	Dato base	2017M10	1.119.427
01 Andalucía	Dato base	2017M09	1.327.059
01 Andalucía	Dato base	2017M08	1.422.593
01 Andalucía	Dato base	2017M07	1.356.267
01 Andalucía	Dato base	2017M06	1.164.980
01 Andalucía	Dato base	2017M05	1.176.002
01 Andalucía	Dato base	2017M04	1.044.661
01 Andalucía	Dato base	2017M03	720.603
01 Andalucía	Dato base	2017M02	584.543
01 Andalucía	Dato base	2017M01	522.009
01 Andalucía	Dato base	2016M12	495.562
01 Andalucía	Dato base	2016M11	548.318
01 Andalucía	Dato base	2016M10	1.094.199
01 Andalucía	Dato base	2016M09	1.117.892
01 Andalucía	Dato base	2016M08	1.374.753
01 Andalucía	Dato base	2016M07	1.211.907
01 Andalucía	Dato base	2016M06	1.057.266
01 Andalucía	Dato base	2016M05	1.091.989
01 Andalucía	Dato base	2016M04	967.258
01 Andalucía	Dato base	2016M03	683.760
01 Andalucía	Dato base	2016M02	493.279
01 Andalucía	Dato base	2016M01	453.459
01 Andalucía	Dato base	2015M12	446.806
01 Andalucía	Dato base	2015M11	487.964
01 Andalucía	Dato base	2015M10	996.515
01 Andalucía	Tasa de variación anual	2021M09	283,61
01 Andalucía	Tasa de variación anual	2021M08	92,11
01 Andalucía	Tasa de variación anual	2021M07	54,25
01 Andalucía	Tasa de variación anual	2021M06	2.015,01
01 Andalucía	Tasa de variación anual	2021M05	..
01 Andalucía	Tasa de variación anual	2021M04	..
01 Andalucía	Tasa de variación anual	2021M03	-82,88
01 Andalucía	Tasa de variación anual	2021M02	-95,43
01 Andalucía	Tasa de variación anual	2021M01	-91,79
01 Andalucía	Tasa de variación anual	2020M12	-89,14
01 Andalucía	Tasa de variación anual	2020M11	-91,99
01 Andalucía	Tasa de variación anual	2020M10	-87,94
01 Andalucía	Tasa de variación anual	2020M09	-86,97
01 Andalucía	Tasa de variación anual	2020M08	-74,08
01 Andalucía	Tasa de variación anual	2020M07	-71,37
01 Andalucía	Tasa de variación anual	2020M06	-98,87
01 Andalucía	Tasa de variación anual	2020M05	-100
01 Andalucía	Tasa de variación anual	2020M04	-100
01 Andalucía	Tasa de variación anual	2020M03	-64,61
01 Andalucía	Tasa de variación anual	2020M02	-0,05
01 Andalucía	Tasa de variación anual	2020M01	5,34
01 Andalucía	Tasa de variación anual	2019M12	0,95
01 Andalucía	Tasa de variación anual	2019M11	1,62
01 Andalucía	Tasa de variación anual	2019M10	4,47
01 Andalucía	Tasa de variación anual	2019M09	4,24
01 Andalucía	Tasa de variación anual	2019M08	-1,45
01 Andalucía	Tasa de variación anual	2019M07	-5,34
01 Andalucía	Tasa de variación anual	2019M06	6,37
01 Andalucía	Tasa de variación anual	2019M05	0,92
01 Andalucía	Tasa de variación anual	2019M04	8,32
01 Andalucía	Tasa de variación anual	2019M03	7,01
01 Andalucía	Tasa de variación anual	2019M02	8,14
01 Andalucía	Tasa de variación anual	2019M01	6,83
01 Andalucía	Tasa de variación anual	2018M12	8,25
01 Andalucía	Tasa de variación anual	2018M11	6,1
01 Andalucía	Tasa de variación anual	2018M10	1,85
01 Andalucía	Tasa de variación anual	2018M09	-0,58
01 Andalucía	Tasa de variación anual	2018M08	0,13
01 Andalucía	Tasa de variación anual	2018M07	-2,12
01 Andalucía	Tasa de variación anual	2018M06	0,34
01 Andalucía	Tasa de variación anual	2018M05	1,51
01 Andalucía	Tasa de variación anual	2018M04	-0,01
01 Andalucía	Tasa de variación anual	2018M03	9,32
01 Andalucía	Tasa de variación anual	2018M02	-0,81
01 Andalucía	Tasa de variación anual	2018M01	3,07
01 Andalucía	Tasa de variación anual	2017M12	3,01
01 Andalucía	Tasa de variación anual	2017M11	3,89
01 Andalucía	Tasa de variación anual	2017M10	2,31
01 Andalucía	Tasa de variación anual	2017M09	18,71
01 Andalucía	Tasa de variación anual	2017M08	3,48
01 Andalucía	Tasa de variación anual	2017M07	11,91
01 Andalucía	Tasa de variación anual	2017M06	10,19
01 Andalucía	Tasa de variación anual	2017M05	7,69
01 Andalucía	Tasa de variación anual	2017M04	8
01 Andalucía	Tasa de variación anual	2017M03	5,39
01 Andalucía	Tasa de variación anual	2017M02	18,5
01 Andalucía	Tasa de variación anual	2017M01	15,12
01 Andalucía	Tasa de variación anual	2016M12	10,91
01 Andalucía	Tasa de variación anual	2016M11	12,37
01 Andalucía	Tasa de variación anual	2016M10	9,8
01 Andalucía	Tasa de variación anual	2016M09	11
01 Andalucía	Tasa de variación anual	2016M08	5,77
01 Andalucía	Tasa de variación anual	2016M07	11,31
01 Andalucía	Tasa de variación anual	2016M06	15,26
01 Andalucía	Tasa de variación anual	2016M05	15,07
01 Andalucía	Tasa de variación anual	2016M04	15,63
01 Andalucía	Tasa de variación anual	2016M03	29,9
01 Andalucía	Tasa de variación anual	2016M02	20,68
01 Andalucía	Tasa de variación anual	2016M01	21,63
01 Andalucía	Tasa de variación anual	2015M12	28,01
01 Andalucía	Tasa de variación anual	2015M11	26,71
01 Andalucía	Tasa de variación anual	2015M10	20,59
01 Andalucía	Acumulado en lo que va de año	2021M09	2.616.596
01 Andalucía	Acumulado en lo que va de año	2021M08	1.929.213
01 Andalucía	Acumulado en lo que va de año	2021M07	1.230.221
01 Andalucía	Acumulado en lo que va de año	2021M06	675.297
01 Andalucía	Acumulado en lo que va de año	2021M05	379.253
01 Andalucía	Acumulado en lo que va de año	2021M04	212.924
01 Andalucía	Acumulado en lo que va de año	2021M03	129.464
01 Andalucía	Acumulado en lo que va de año	2021M02	78.377
01 Andalucía	Acumulado en lo que va de año	2021M01	49.716
01 Andalucía	Acumulado en lo que va de año	2020M12	2.700.613
01 Andalucía	Acumulado en lo que va de año	2020M11	2.640.013
01 Andalucía	Acumulado en lo que va de año	2020M10	2.590.838
01 Andalucía	Acumulado en lo que va de año	2020M09	2.447.228
01 Andalucía	Acumulado en lo que va de año	2020M08	2.268.037
01 Andalucía	Acumulado en lo que va de año	2020M07	1.904.188
01 Andalucía	Acumulado en lo que va de año	2020M06	1.544.434
01 Andalucía	Acumulado en lo que va de año	2020M05	1.530.437
01 Andalucía	Acumulado en lo que va de año	2020M04	1.530.437
01 Andalucía	Acumulado en lo que va de año	2020M03	1.530.437
01 Andalucía	Acumulado en lo que va de año	2020M02	1.232.104
01 Andalucía	Acumulado en lo que va de año	2020M01	605.451
01 Andalucía	Acumulado en lo que va de año	2019M12	12.023.153
01 Andalucía	Acumulado en lo que va de año	2019M11	11.465.292
01 Andalucía	Acumulado en lo que va de año	2019M10	10.851.124
01 Andalucía	Acumulado en lo que va de año	2019M09	9.660.004
01 Andalucía	Acumulado en lo que va de año	2019M08	8.284.662
01 Andalucía	Acumulado en lo que va de año	2019M07	6.880.961
01 Andalucía	Acumulado en lo que va de año	2019M06	5.624.305
01 Andalucía	Acumulado en lo que va de año	2019M05	4.380.910
01 Andalucía	Acumulado en lo que va de año	2019M04	3.176.161
01 Andalucía	Acumulado en lo que va de año	2019M03	2.044.678
01 Andalucía	Acumulado en lo que va de año	2019M02	1.201.744
01 Andalucía	Acumulado en lo que va de año	2019M01	574.761
01 Andalucía	Acumulado en lo que va de año	2018M12	11.681.256
01 Andalucía	Acumulado en lo que va de año	2018M11	11.128.661
01 Andalucía	Acumulado en lo que va de año	2018M10	10.524.304
01 Andalucía	Acumulado en lo que va de año	2018M09	9.384.140
01 Andalucía	Acumulado en lo que va de año	2018M08	8.064.790
01 Andalucía	Acumulado en lo que va de año	2018M07	6.640.380
01 Andalucía	Acumulado en lo que va de año	2018M06	5.312.803
01 Andalucía	Acumulado en lo que va de año	2018M05	4.143.855
01 Andalucía	Acumulado en lo que va de año	2018M04	2.950.139
01 Andalucía	Acumulado en lo que va de año	2018M03	1.905.573
01 Andalucía	Acumulado en lo que va de año	2018M02	1.117.825
01 Andalucía	Acumulado en lo que va de año	2018M01	538.026
01 Andalucía	Acumulado en lo que va de año	2017M12	11.518.262
01 Andalucía	Acumulado en lo que va de año	2017M11	11.007.776
01 Andalucía	Acumulado en lo que va de año	2017M10	10.438.144
01 Andalucía	Acumulado en lo que va de año	2017M09	9.318.716
01 Andalucía	Acumulado en lo que va de año	2017M08	7.991.658
01 Andalucía	Acumulado en lo que va de año	2017M07	6.569.064
01 Andalucía	Acumulado en lo que va de año	2017M06	5.212.797
01 Andalucía	Acumulado en lo que va de año	2017M05	4.047.817
01 Andalucía	Acumulado en lo que va de año	2017M04	2.871.815
01 Andalucía	Acumulado en lo que va de año	2017M03	1.827.155
01 Andalucía	Acumulado en lo que va de año	2017M02	1.106.552
01 Andalucía	Acumulado en lo que va de año	2017M01	522.009
01 Andalucía	Acumulado en lo que va de año	2016M12	10.589.642
01 Andalucía	Acumulado en lo que va de año	2016M11	10.094.080
01 Andalucía	Acumulado en lo que va de año	2016M10	9.545.762
01 Andalucía	Acumulado en lo que va de año	2016M09	8.451.564
01 Andalucía	Acumulado en lo que va de año	2016M08	7.333.672
01 Andalucía	Acumulado en lo que va de año	2016M07	5.958.919
01 Andalucía	Acumulado en lo que va de año	2016M06	4.747.011
01 Andalucía	Acumulado en lo que va de año	2016M05	3.689.745
01 Andalucía	Acumulado en lo que va de año	2016M04	2.597.756
01 Andalucía	Acumulado en lo que va de año	2016M03	1.630.498
01 Andalucía	Acumulado en lo que va de año	2016M02	946.738
01 Andalucía	Acumulado en lo que va de año	2016M01	453.459
01 Andalucía	Acumulado en lo que va de año	2015M12	""
01 Andalucía	Acumulado en lo que va de año	2015M11	""
01 Andalucía	Acumulado en lo que va de año	2015M10	""
01 Andalucía	Tasa de variación acumulada	2021M09	6,92
01 Andalucía	Tasa de variación acumulada	2021M08	-14,94
01 Andalucía	Tasa de variación acumulada	2021M07	-35,39
01 Andalucía	Tasa de variación acumulada	2021M06	-56,28
01 Andalucía	Tasa de variación acumulada	2021M05	-75,22
01 Andalucía	Tasa de variación acumulada	2021M04	-86,09
01 Andalucía	Tasa de variación acumulada	2021M03	-91,54
01 Andalucía	Tasa de variación acumulada	2021M02	-93,64
01 Andalucía	Tasa de variación acumulada	2021M01	-91,79
01 Andalucía	Tasa de variación acumulada	2020M12	-77,54
01 Andalucía	Tasa de variación acumulada	2020M11	-76,97
01 Andalucía	Tasa de variación acumulada	2020M10	-76,12
01 Andalucía	Tasa de variación acumulada	2020M09	-74,67
01 Andalucía	Tasa de variación acumulada	2020M08	-72,62
01 Andalucía	Tasa de variación acumulada	2020M07	-72,33
01 Andalucía	Tasa de variación acumulada	2020M06	-72,54
01 Andalucía	Tasa de variación acumulada	2020M05	-65,07
01 Andalucía	Tasa de variación acumulada	2020M04	-51,81
01 Andalucía	Tasa de variación acumulada	2020M03	-25,15
01 Andalucía	Tasa de variación acumulada	2020M02	2,53
01 Andalucía	Tasa de variación acumulada	2020M01	5,34
01 Andalucía	Tasa de variación acumulada	2019M12	2,93
01 Andalucía	Tasa de variación acumulada	2019M11	3,02
01 Andalucía	Tasa de variación acumulada	2019M10	3,11
01 Andalucía	Tasa de variación acumulada	2019M09	2,94
01 Andalucía	Tasa de variación acumulada	2019M08	2,73
01 Andalucía	Tasa de variación acumulada	2019M07	3,62
01 Andalucía	Tasa de variación acumulada	2019M06	5,86
01 Andalucía	Tasa de variación acumulada	2019M05	5,72
01 Andalucía	Tasa de variación acumulada	2019M04	7,66
01 Andalucía	Tasa de variación acumulada	2019M03	7,3
01 Andalucía	Tasa de variación acumulada	2019M02	7,51
01 Andalucía	Tasa de variación acumulada	2019M01	6,83
01 Andalucía	Tasa de variación acumulada	2018M12	1,42
01 Andalucía	Tasa de variación acumulada	2018M11	1,1
01 Andalucía	Tasa de variación acumulada	2018M10	0,83
01 Andalucía	Tasa de variación acumulada	2018M09	0,7
01 Andalucía	Tasa de variación acumulada	2018M08	0,92
01 Andalucía	Tasa de variación acumulada	2018M07	1,09
01 Andalucía	Tasa de variación acumulada	2018M06	1,92
01 Andalucía	Tasa de variación acumulada	2018M05	2,37
01 Andalucía	Tasa de variación acumulada	2018M04	2,73
01 Andalucía	Tasa de variación acumulada	2018M03	4,29
01 Andalucía	Tasa de variación acumulada	2018M02	1,02
01 Andalucía	Tasa de variación acumulada	2018M01	3,07
01 Andalucía	Tasa de variación acumulada	2017M12	8,77
01 Andalucía	Tasa de variación acumulada	2017M11	9,05
01 Andalucía	Tasa de variación acumulada	2017M10	9,35
01 Andalucía	Tasa de variación acumulada	2017M09	10,26
01 Andalucía	Tasa de variación acumulada	2017M08	8,97
01 Andalucía	Tasa de variación acumulada	2017M07	10,24
