Motivo del viaje	Tipo de dato	Periodo	Total
Total	Dato base	2021M09	4.691.486
Total	Dato base	2021M08	5.194.212
Total	Dato base	2021M07	4.395.384
Total	Dato base	2021M06	2.215.710
Total	Dato base	2021M05	1.363.624
Total	Dato base	2021M04	630.647
Total	Dato base	2021M03	490.088
Total	Dato base	2021M02	284.311
Total	Dato base	2021M01	434.362
Total	Dato base	2020M12	648.989
Total	Dato base	2020M11	456.814
Total	Dato base	2020M10	1.020.773
Total	Dato base	2020M09	1.138.868
Total	Dato base	2020M08	2.440.978
Total	Dato base	2020M07	2.464.779
Total	Dato base	2020M06	204.272
Total	Dato base	2020M05	0
Total	Dato base	2020M04	0
Total	Dato base	2020M03	1.997.262
Total	Dato base	2020M02	4.427.344
Total	Dato base	2020M01	4.133.024
Total	Dato base	2019M12	4.304.741
Total	Dato base	2019M11	4.655.021
Total	Dato base	2019M10	7.587.749
Total	Dato base	2019M09	8.845.152
Total	Dato base	2019M08	10.118.366
Total	Dato base	2019M07	9.873.270
Total	Dato base	2019M06	8.833.893
Total	Dato base	2019M05	7.919.204
Total	Dato base	2019M04	7.146.033
Total	Dato base	2019M03	5.649.577
Total	Dato base	2019M02	4.380.504
Total	Dato base	2019M01	4.195.641
Total	Dato base	2018M12	4.354.798
Total	Dato base	2018M11	4.536.873
Total	Dato base	2018M10	7.649.860
Total	Dato base	2018M09	8.932.308
Total	Dato base	2018M08	10.175.761
Total	Dato base	2018M07	10.020.246
Total	Dato base	2018M06	8.554.306
Total	Dato base	2018M05	8.086.048
Total	Dato base	2018M04	6.780.378
Total	Dato base	2018M03	5.393.186
Total	Dato base	2018M02	4.218.047
Total	Dato base	2018M01	4.106.601
Total	Dato base	2017M12	3.982.530
Total	Dato base	2017M11	4.392.575
Total	Dato base	2017M10	7.269.931
Total	Dato base	2017M09	8.877.270
Total	Dato base	2017M08	10.397.745
Total	Dato base	2017M07	10.493.438
Total	Dato base	2017M06	8.431.975
Total	Dato base	2017M05	8.002.648
Total	Dato base	2017M04	7.081.594
Total	Dato base	2017M03	4.913.943
Total	Dato base	2017M02	4.119.137
Total	Dato base	2017M01	3.905.736
Total	Dato base	2016M12	3.990.446
Total	Dato base	2016M11	4.098.262
Total	Dato base	2016M10	7.137.723
Total	Dato base	2016M09	7.932.607
Total	Dato base	2016M08	10.027.471
Total	Dato base	2016M07	9.545.792
Total	Dato base	2016M06	7.552.758
Total	Dato base	2016M05	7.111.154
Total	Dato base	2016M04	6.086.327
Total	Dato base	2016M03	4.627.206
Total	Dato base	2016M02	3.678.726
Total	Dato base	2016M01	3.526.537
Total	Dato base	2015M12	3.512.914
Total	Dato base	2015M11	3.754.802
Total	Dato base	2015M10	6.432.341
Total	Tasa de variación anual	2021M09	311,94
Total	Tasa de variación anual	2021M08	112,79
Total	Tasa de variación anual	2021M07	78,33
Total	Tasa de variación anual	2021M06	984,69
Total	Tasa de variación anual	2021M05	..
Total	Tasa de variación anual	2021M04	..
Total	Tasa de variación anual	2021M03	-75,46
Total	Tasa de variación anual	2021M02	-93,58
Total	Tasa de variación anual	2021M01	-89,49
Total	Tasa de variación anual	2020M12	-84,92
Total	Tasa de variación anual	2020M11	-90,19
Total	Tasa de variación anual	2020M10	-86,55
Total	Tasa de variación anual	2020M09	-87,12
Total	Tasa de variación anual	2020M08	-75,88
Total	Tasa de variación anual	2020M07	-75,04
Total	Tasa de variación anual	2020M06	-97,69
Total	Tasa de variación anual	2020M05	-100
Total	Tasa de variación anual	2020M04	-100
Total	Tasa de variación anual	2020M03	-64,65
Total	Tasa de variación anual	2020M02	1,07
Total	Tasa de variación anual	2020M01	-1,49
Total	Tasa de variación anual	2019M12	-1,15
Total	Tasa de variación anual	2019M11	2,6
Total	Tasa de variación anual	2019M10	-0,81
Total	Tasa de variación anual	2019M09	-0,98
Total	Tasa de variación anual	2019M08	-0,56
Total	Tasa de variación anual	2019M07	-1,47
Total	Tasa de variación anual	2019M06	3,27
Total	Tasa de variación anual	2019M05	-2,06
Total	Tasa de variación anual	2019M04	5,39
Total	Tasa de variación anual	2019M03	4,75
Total	Tasa de variación anual	2019M02	3,85
Total	Tasa de variación anual	2019M01	2,17
Total	Tasa de variación anual	2018M12	9,35
Total	Tasa de variación anual	2018M11	3,29
Total	Tasa de variación anual	2018M10	5,23
Total	Tasa de variación anual	2018M09	0,62
Total	Tasa de variación anual	2018M08	-2,13
Total	Tasa de variación anual	2018M07	-4,51
Total	Tasa de variación anual	2018M06	1,45
Total	Tasa de variación anual	2018M05	1,04
Total	Tasa de variación anual	2018M04	-4,25
Total	Tasa de variación anual	2018M03	9,75
Total	Tasa de variación anual	2018M02	2,4
Total	Tasa de variación anual	2018M01	5,14
Total	Tasa de variación anual	2017M12	-0,2
Total	Tasa de variación anual	2017M11	7,18
Total	Tasa de variación anual	2017M10	1,85
Total	Tasa de variación anual	2017M09	11,91
Total	Tasa de variación anual	2017M08	3,69
Total	Tasa de variación anual	2017M07	9,93
Total	Tasa de variación anual	2017M06	11,64
Total	Tasa de variación anual	2017M05	12,54
Total	Tasa de variación anual	2017M04	16,35
Total	Tasa de variación anual	2017M03	6,2
Total	Tasa de variación anual	2017M02	11,97
Total	Tasa de variación anual	2017M01	10,75
Total	Tasa de variación anual	2016M12	13,59
Total	Tasa de variación anual	2016M11	9,15
Total	Tasa de variación anual	2016M10	10,97
Total	Tasa de variación anual	2016M09	9,52
Total	Tasa de variación anual	2016M08	6,34
Total	Tasa de variación anual	2016M07	9,99
Total	Tasa de variación anual	2016M06	12,89
Total	Tasa de variación anual	2016M05	8,19
Total	Tasa de variación anual	2016M04	11,59
Total	Tasa de variación anual	2016M03	15,45
Total	Tasa de variación anual	2016M02	13,95
Total	Tasa de variación anual	2016M01	11,04
Total	Tasa de variación anual	2015M12	7,92
Total	Tasa de variación anual	2015M11	10,56
Total	Tasa de variación anual	2015M10	8,89
Total	Acumulado en lo que va de año	2021M09	19.699.824
Total	Acumulado en lo que va de año	2021M08	15.008.338
Total	Acumulado en lo que va de año	2021M07	9.814.126
Total	Acumulado en lo que va de año	2021M06	5.418.743
Total	Acumulado en lo que va de año	2021M05	3.203.033
Total	Acumulado en lo que va de año	2021M04	1.839.408
Total	Acumulado en lo que va de año	2021M03	1.208.761
Total	Acumulado en lo que va de año	2021M02	718.673
Total	Acumulado en lo que va de año	2021M01	434.362
Total	Acumulado en lo que va de año	2020M12	18.933.103
Total	Acumulado en lo que va de año	2020M11	18.284.113
Total	Acumulado en lo que va de año	2020M10	17.827.299
Total	Acumulado en lo que va de año	2020M09	16.806.526
Total	Acumulado en lo que va de año	2020M08	15.667.658
Total	Acumulado en lo que va de año	2020M07	13.226.680
Total	Acumulado en lo que va de año	2020M06	10.761.901
Total	Acumulado en lo que va de año	2020M05	10.557.629
Total	Acumulado en lo que va de año	2020M04	10.557.629
Total	Acumulado en lo que va de año	2020M03	10.557.629
Total	Acumulado en lo que va de año	2020M02	8.560.367
Total	Acumulado en lo que va de año	2020M01	4.133.024
Total	Acumulado en lo que va de año	2019M12	83.509.153
Total	Acumulado en lo que va de año	2019M11	79.204.413
Total	Acumulado en lo que va de año	2019M10	74.549.391
Total	Acumulado en lo que va de año	2019M09	66.961.642
Total	Acumulado en lo que va de año	2019M08	58.116.490
Total	Acumulado en lo que va de año	2019M07	47.998.124
Total	Acumulado en lo que va de año	2019M06	38.124.854
Total	Acumulado en lo que va de año	2019M05	29.290.961
Total	Acumulado en lo que va de año	2019M04	21.371.757
Total	Acumulado en lo que va de año	2019M03	14.225.723
Total	Acumulado en lo que va de año	2019M02	8.576.146
Total	Acumulado en lo que va de año	2019M01	4.195.641
Total	Acumulado en lo que va de año	2018M12	82.808.413
Total	Acumulado en lo que va de año	2018M11	78.453.616
Total	Acumulado en lo que va de año	2018M10	73.916.743
Total	Acumulado en lo que va de año	2018M09	66.266.882
Total	Acumulado en lo que va de año	2018M08	57.334.574
Total	Acumulado en lo que va de año	2018M07	47.158.813
Total	Acumulado en lo que va de año	2018M06	37.138.567
Total	Acumulado en lo que va de año	2018M05	28.584.261
Total	Acumulado en lo que va de año	2018M04	20.498.213
Total	Acumulado en lo que va de año	2018M03	13.717.834
Total	Acumulado en lo que va de año	2018M02	8.324.648
Total	Acumulado en lo que va de año	2018M01	4.106.601
Total	Acumulado en lo que va de año	2017M12	81.868.522
Total	Acumulado en lo que va de año	2017M11	77.885.991
Total	Acumulado en lo que va de año	2017M10	73.493.416
Total	Acumulado en lo que va de año	2017M09	66.223.486
Total	Acumulado en lo que va de año	2017M08	57.346.216
Total	Acumulado en lo que va de año	2017M07	46.948.471
Total	Acumulado en lo que va de año	2017M06	36.455.033
Total	Acumulado en lo que va de año	2017M05	28.023.059
Total	Acumulado en lo que va de año	2017M04	20.020.410
Total	Acumulado en lo que va de año	2017M03	12.938.816
Total	Acumulado en lo que va de año	2017M02	8.024.873
Total	Acumulado en lo que va de año	2017M01	3.905.736
Total	Acumulado en lo que va de año	2016M12	75.315.008
Total	Acumulado en lo que va de año	2016M11	71.324.562
Total	Acumulado en lo que va de año	2016M10	67.226.301
Total	Acumulado en lo que va de año	2016M09	60.088.578
Total	Acumulado en lo que va de año	2016M08	52.155.971
Total	Acumulado en lo que va de año	2016M07	42.128.500
Total	Acumulado en lo que va de año	2016M06	32.582.708
Total	Acumulado en lo que va de año	2016M05	25.029.951
Total	Acumulado en lo que va de año	2016M04	17.918.796
Total	Acumulado en lo que va de año	2016M03	11.832.469
Total	Acumulado en lo que va de año	2016M02	7.205.263
Total	Acumulado en lo que va de año	2016M01	3.526.537
Total	Acumulado en lo que va de año	2015M12	""
Total	Acumulado en lo que va de año	2015M11	""
Total	Acumulado en lo que va de año	2015M10	""
Total	Tasa de variación acumulada	2021M09	17,22
Total	Tasa de variación acumulada	2021M08	-4,21
Total	Tasa de variación acumulada	2021M07	-25,8
Total	Tasa de variación acumulada	2021M06	-49,65
Total	Tasa de variación acumulada	2021M05	-69,66
Total	Tasa de variación acumulada	2021M04	-82,58
Total	Tasa de variación acumulada	2021M03	-88,55
Total	Tasa de variación acumulada	2021M02	-91,6
Total	Tasa de variación acumulada	2021M01	-89,49
Total	Tasa de variación acumulada	2020M12	-77,33
Total	Tasa de variación acumulada	2020M11	-76,92
Total	Tasa de variación acumulada	2020M10	-76,09
Total	Tasa de variación acumulada	2020M09	-74,9
Total	Tasa de variación acumulada	2020M08	-73,04
Total	Tasa de variación acumulada	2020M07	-72,44
Total	Tasa de variación acumulada	2020M06	-71,77
Total	Tasa de variación acumulada	2020M05	-63,96
Total	Tasa de variación acumulada	2020M04	-50,6
Total	Tasa de variación acumulada	2020M03	-25,78
Total	Tasa de variación acumulada	2020M02	-0,18
Total	Tasa de variación acumulada	2020M01	-1,49
Total	Tasa de variación acumulada	2019M12	0,85
Total	Tasa de variación acumulada	2019M11	0,96
Total	Tasa de variación acumulada	2019M10	0,86
Total	Tasa de variación acumulada	2019M09	1,05
Total	Tasa de variación acumulada	2019M08	1,36
Total	Tasa de variación acumulada	2019M07	1,78
Total	Tasa de variación acumulada	2019M06	2,66
Total	Tasa de variación acumulada	2019M05	2,47
Total	Tasa de variación acumulada	2019M04	4,26
Total	Tasa de variación acumulada	2019M03	3,7
Total	Tasa de variación acumulada	2019M02	3,02
Total	Tasa de variación acumulada	2019M01	2,17
Total	Tasa de variación acumulada	2018M12	1,15
Total	Tasa de variación acumulada	2018M11	0,73
Total	Tasa de variación acumulada	2018M10	0,58
Total	Tasa de variación acumulada	2018M09	0,07
Total	Tasa de variación acumulada	2018M08	-0,02
Total	Tasa de variación acumulada	2018M07	0,45
Total	Tasa de variación acumulada	2018M06	1,88
Total	Tasa de variación acumulada	2018M05	2
Total	Tasa de variación acumulada	2018M04	2,39
Total	Tasa de variación acumulada	2018M03	6,02
Total	Tasa de variación acumulada	2018M02	3,74
Total	Tasa de variación acumulada	2018M01	5,14
Total	Tasa de variación acumulada	2017M12	8,7
Total	Tasa de variación acumulada	2017M11	9,2
Total	Tasa de variación acumulada	2017M10	9,32
Total	Tasa de variación acumulada	2017M09	10,21
Total	Tasa de variación acumulada	2017M08	9,95
Total	Tasa de variación acumulada	2017M07	11,44
Total	Tasa de variación acumulada	2017M06	11,88
Total	Tasa de variación acumulada	2017M05	11,96
Total	Tasa de variación acumulada	2017M04	11,73
Total	Tasa de variación acumulada	2017M03	9,35
Total	Tasa de variación acumulada	2017M02	11,38
Total	Tasa de variación acumulada	2017M01	10,75
Total	Tasa de variación acumulada	2016M12	10,46
Total	Tasa de variación acumulada	2016M11	10,29
Total	Tasa de variación acumulada	2016M10	10,36
Total	Tasa de variación acumulada	2016M09	10,29
Total	Tasa de variación acumulada	2016M08	10,41
Total	Tasa de variación acumulada	2016M07	11,42
Total	Tasa de variación acumulada	2016M06	11,85
Total	Tasa de variación acumulada	2016M05	11,54
Total	Tasa de variación acumulada	2016M04	12,93
Total	Tasa de variación acumulada	2016M03	13,64
Total	Tasa de variación acumulada	2016M02	12,5
Total	Tasa de variación acumulada	2016M01	11,04
Total	Tasa de variación acumulada	2015M12	""
Total	Tasa de variación acumulada	2015M11	""
Total	Tasa de variación acumulada	2015M10	""
Ocio, recreo y vacaciones	Dato base	2021M09	4.150.250
Ocio, recreo y vacaciones	Dato base	2021M08	4.755.539
Ocio, recreo y vacaciones	Dato base	2021M07	3.868.622
Ocio, recreo y vacaciones	Dato base	2021M06	1.775.593
Ocio, recreo y vacaciones	Dato base	2021M05	1.006.689
Ocio, recreo y vacaciones	Dato base	2021M04	392.185
Ocio, recreo y vacaciones	Dato base	2021M03	268.155
Ocio, recreo y vacaciones	Dato base	2021M02	162.354
Ocio, recreo y vacaciones	Dato base	2021M01	274.242
Ocio, recreo y vacaciones	Dato base	2020M12	385.414
Ocio, recreo y vacaciones	Dato base	2020M11	295.647
Ocio, recreo y vacaciones	Dato base	2020M10	800.953
Ocio, recreo y vacaciones	Dato base	2020M09	902.587
Ocio, recreo y vacaciones	Dato base	2020M08	2.169.355
Ocio, recreo y vacaciones	Dato base	2020M07	2.122.117
Ocio, recreo y vacaciones	Dato base	2020M06	167.634
Ocio, recreo y vacaciones	Dato base	2020M05	0
Ocio, recreo y vacaciones	Dato base	2020M04	0
Ocio, recreo y vacaciones	Dato base	2020M03	1.657.119
Ocio, recreo y vacaciones	Dato base	2020M02	3.654.750
Ocio, recreo y vacaciones	Dato base	2020M01	3.377.951
Ocio, recreo y vacaciones	Dato base	2019M12	3.533.161
Ocio, recreo y vacaciones	Dato base	2019M11	3.815.851
Ocio, recreo y vacaciones	Dato base	2019M10	6.628.274
Ocio, recreo y vacaciones	Dato base	2019M09	7.947.555
Ocio, recreo y vacaciones	Dato base	2019M08	9.451.449
Ocio, recreo y vacaciones	Dato base	2019M07	8.975.647
Ocio, recreo y vacaciones	Dato base	2019M06	7.817.617
Ocio, recreo y vacaciones	Dato base	2019M05	6.917.988
Ocio, recreo y vacaciones	Dato base	2019M04	6.212.566
Ocio, recreo y vacaciones	Dato base	2019M03	4.685.301
Ocio, recreo y vacaciones	Dato base	2019M02	3.550.662
Ocio, recreo y vacaciones	Dato base	2019M01	3.440.353
Ocio, recreo y vacaciones	Dato base	2018M12	3.571.407
Ocio, recreo y vacaciones	Dato base	2018M11	3.763.368
Ocio, recreo y vacaciones	Dato base	2018M10	6.707.426
Ocio, recreo y vacaciones	Dato base	2018M09	7.987.061
Ocio, recreo y vacaciones	Dato base	2018M08	9.370.729
Ocio, recreo y vacaciones	Dato base	2018M07	9.070.322
Ocio, recreo y vacaciones	Dato base	2018M06	7.508.130
Ocio, recreo y vacaciones	Dato base	2018M05	7.149.584
Ocio, recreo y vacaciones	Dato base	2018M04	5.782.796
Ocio, recreo y vacaciones	Dato base	2018M03	4.341.659
Ocio, recreo y vacaciones	Dato base	2018M02	3.458.372
Ocio, recreo y vacaciones	Dato base	2018M01	3.462.200
Ocio, recreo y vacaciones	Dato base	2017M12	3.217.373
Ocio, recreo y vacaciones	Dato base	2017M11	3.676.581
Ocio, recreo y vacaciones	Dato base	2017M10	6.331.811
Ocio, recreo y vacaciones	Dato base	2017M09	7.949.343
Ocio, recreo y vacaciones	Dato base	2017M08	9.596.016
Ocio, recreo y vacaciones	Dato base	2017M07	9.427.961
Ocio, recreo y vacaciones	Dato base	2017M06	7.401.577
Ocio, recreo y vacaciones	Dato base	2017M05	6.895.568
Ocio, recreo y vacaciones	Dato base	2017M04	6.065.684
Ocio, recreo y vacaciones	Dato base	2017M03	3.995.086
Ocio, recreo y vacaciones	Dato base	2017M02	3.387.506
Ocio, recreo y vacaciones	Dato base	2017M01	3.142.597
Ocio, recreo y vacaciones	Dato base	2016M12	3.115.937
Ocio, recreo y vacaciones	Dato base	2016M11	3.251.951
Ocio, recreo y vacaciones	Dato base	2016M10	6.100.455
Ocio, recreo y vacaciones	Dato base	2016M09	7.057.857
Ocio, recreo y vacaciones	Dato base	2016M08	9.296.900
Ocio, recreo y vacaciones	Dato base	2016M07	8.664.754
Ocio, recreo y vacaciones	Dato base	2016M06	6.591.364
Ocio, recreo y vacaciones	Dato base	2016M05	6.078.190
Ocio, recreo y vacaciones	Dato base	2016M04	4.921.015
Ocio, recreo y vacaciones	Dato base	2016M03	3.747.057
Ocio, recreo y vacaciones	Dato base	2016M02	2.814.264
Ocio, recreo y vacaciones	Dato base	2016M01	2.671.999
Ocio, recreo y vacaciones	Dato base	2015M12	2.631.906
Ocio, recreo y vacaciones	Dato base	2015M11	2.926.298
Ocio, recreo y vacaciones	Dato base	2015M10	5.311.088
Ocio, recreo y vacaciones	Tasa de variación anual	2021M09	359,82
Ocio, recreo y vacaciones	Tasa de variación anual	2021M08	119,21
Ocio, recreo y vacaciones	Tasa de variación anual	2021M07	82,3
Ocio, recreo y vacaciones	Tasa de variación anual	2021M06	959,21
Ocio, recreo y vacaciones	Tasa de variación anual	2021M05	..
Ocio, recreo y vacaciones	Tasa de variación anual	2021M04	..
Ocio, recreo y vacaciones	Tasa de variación anual	2021M03	-83,82
Ocio, recreo y vacaciones	Tasa de variación anual	2021M02	-95,56
Ocio, recreo y vacaciones	Tasa de variación anual	2021M01	-91,88
Ocio, recreo y vacaciones	Tasa de variación anual	2020M12	-89,09
Ocio, recreo y vacaciones	Tasa de variación anual	2020M11	-92,25
Ocio, recreo y vacaciones	Tasa de variación anual	2020M10	-87,92
Ocio, recreo y vacaciones	Tasa de variación anual	2020M09	-88,64
Ocio, recreo y vacaciones	Tasa de variación anual	2020M08	-77,05
Ocio, recreo y vacaciones	Tasa de variación anual	2020M07	-76,36
Ocio, recreo y vacaciones	Tasa de variación anual	2020M06	-97,86
Ocio, recreo y vacaciones	Tasa de variación anual	2020M05	-100
Ocio, recreo y vacaciones	Tasa de variación anual	2020M04	-100
Ocio, recreo y vacaciones	Tasa de variación anual	2020M03	-64,63
Ocio, recreo y vacaciones	Tasa de variación anual	2020M02	2,93
Ocio, recreo y vacaciones	Tasa de variación anual	2020M01	-1,81
Ocio, recreo y vacaciones	Tasa de variación anual	2019M12	-1,07
Ocio, recreo y vacaciones	Tasa de variación anual	2019M11	1,39
Ocio, recreo y vacaciones	Tasa de variación anual	2019M10	-1,18
Ocio, recreo y vacaciones	Tasa de variación anual	2019M09	-0,49
Ocio, recreo y vacaciones	Tasa de variación anual	2019M08	0,86
Ocio, recreo y vacaciones	Tasa de variación anual	2019M07	-1,04
Ocio, recreo y vacaciones	Tasa de variación anual	2019M06	4,12
Ocio, recreo y vacaciones	Tasa de variación anual	2019M05	-3,24
Ocio, recreo y vacaciones	Tasa de variación anual	2019M04	7,43
Ocio, recreo y vacaciones	Tasa de variación anual	2019M03	7,91
Ocio, recreo y vacaciones	Tasa de variación anual	2019M02	2,67
Ocio, recreo y vacaciones	Tasa de variación anual	2019M01	-0,63
Ocio, recreo y vacaciones	Tasa de variación anual	2018M12	11
Ocio, recreo y vacaciones	Tasa de variación anual	2018M11	2,36
Ocio, recreo y vacaciones	Tasa de variación anual	2018M10	5,93
Ocio, recreo y vacaciones	Tasa de variación anual	2018M09	0,47
Ocio, recreo y vacaciones	Tasa de variación anual	2018M08	-2,35
Ocio, recreo y vacaciones	Tasa de variación anual	2018M07	-3,79
Ocio, recreo y vacaciones	Tasa de variación anual	2018M06	1,44
Ocio, recreo y vacaciones	Tasa de variación anual	2018M05	3,68
Ocio, recreo y vacaciones	Tasa de variación anual	2018M04	-4,66
Ocio, recreo y vacaciones	Tasa de variación anual	2018M03	8,67
Ocio, recreo y vacaciones	Tasa de variación anual	2018M02	2,09
Ocio, recreo y vacaciones	Tasa de variación anual	2018M01	10,17
Ocio, recreo y vacaciones	Tasa de variación anual	2017M12	3,26
Ocio, recreo y vacaciones	Tasa de variación anual	2017M11	13,06
Ocio, recreo y vacaciones	Tasa de variación anual	2017M10	3,79
Ocio, recreo y vacaciones	Tasa de variación anual	2017M09	12,63
Ocio, recreo y vacaciones	Tasa de variación anual	2017M08	3,22
Ocio, recreo y vacaciones	Tasa de variación anual	2017M07	8,81
Ocio, recreo y vacaciones	Tasa de variación anual	2017M06	12,29
Ocio, recreo y vacaciones	Tasa de variación anual	2017M05	13,45
Ocio, recreo y vacaciones	Tasa de variación anual	2017M04	23,26
Ocio, recreo y vacaciones	Tasa de variación anual	2017M03	6,62
Ocio, recreo y vacaciones	Tasa de variación anual	2017M02	20,37
Ocio, recreo y vacaciones	Tasa de variación anual	2017M01	17,61
Ocio, recreo y vacaciones	Tasa de variación anual	2016M12	18,39
Ocio, recreo y vacaciones	Tasa de variación anual	2016M11	11,13
Ocio, recreo y vacaciones	Tasa de variación anual	2016M10	14,86
Ocio, recreo y vacaciones	Tasa de variación anual	2016M09	11,16
Ocio, recreo y vacaciones	Tasa de variación anual	2016M08	7,53
Ocio, recreo y vacaciones	Tasa de variación anual	2016M07	10,64
Ocio, recreo y vacaciones	Tasa de variación anual	2016M06	11,13
Ocio, recreo y vacaciones	Tasa de variación anual	2016M05	6,01
Ocio, recreo y vacaciones	Tasa de variación anual	2016M04	8,82
Ocio, recreo y vacaciones	Tasa de variación anual	2016M03	17,97
Ocio, recreo y vacaciones	Tasa de variación anual	2016M02	8,19
Ocio, recreo y vacaciones	Tasa de variación anual	2016M01	5,02
Ocio, recreo y vacaciones	Tasa de variación anual	2015M12	-1,39
Ocio, recreo y vacaciones	Tasa de variación anual	2015M11	3,98
Ocio, recreo y vacaciones	Tasa de variación anual	2015M10	4,48
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M09	16.653.627
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M08	12.503.377
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M07	7.747.838
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M06	3.879.217
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M05	2.103.624
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M04	1.096.935
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M03	704.750
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M02	436.596
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2021M01	274.242
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M12	15.533.526
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M11	15.148.112
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M10	14.852.465
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M09	14.051.513
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M08	13.148.925
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M07	10.979.570
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M06	8.857.453
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M05	8.689.820
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M04	8.689.820
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M03	8.689.820
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M02	7.032.701
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2020M01	3.377.951
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M12	72.976.423
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M11	69.443.262
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M10	65.627.411
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M09	58.999.137
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M08	51.051.583
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M07	41.600.133
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M06	32.624.486
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M05	24.806.870
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M04	17.888.882
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M03	11.676.316
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M02	6.991.015
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2019M01	3.440.353
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M12	72.173.054
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M11	68.601.647
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M10	64.838.279
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M09	58.130.853
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M08	50.143.792
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M07	40.773.063
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M06	31.702.741
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M05	24.194.611
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M04	17.045.027
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M03	11.262.231
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M02	6.920.572
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2018M01	3.462.200
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M12	71.087.103
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M11	67.869.730
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M10	64.193.148
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M09	57.861.337
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M08	49.911.995
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M07	40.315.979
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M06	30.888.018
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M05	23.486.441
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M04	16.590.874
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M03	10.525.190
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M02	6.530.103
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2017M01	3.142.597
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M12	64.311.744
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M11	61.195.806
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M10	57.943.855
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M09	51.843.400
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M08	44.785.543
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M07	35.488.643
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M06	26.823.889
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M05	20.232.525
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M04	14.154.335
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M03	9.233.320
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M02	5.486.263
Ocio, recreo y vacaciones	Acumulado en lo que va de año	2016M01	2.671.999
